Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation  [sfc];Wind speed  [10 m above gnd];Wind direction  [10 m above gnd]
2017;11;27;13;00;53.55;0.00;11.89;160.20
2017;11;27;14;00;55.20;0.00;12.05;164.93
2017;11;27;15;00;56.01;0.00;12.16;167.24
2017;11;27;16;00;55.33;0.00;12.81;167.91
2017;11;27;17;00;54.07;0.00;14.61;168.52
2017;11;27;18;00;53.47;0.00;16.70;172.30
2017;11;27;19;00;52.97;0.00;18.80;178.64
2017;11;27;20;00;52.30;0.00;20.01;185.77
2017;11;27;21;00;51.85;0.00;21.55;192.59
2017;11;27;22;00;51.31;0.00;23.06;198.08
2017;11;27;23;00;50.49;0.00;23.97;202.50
2017;11;28;00;00;49.77;0.00;24.12;204.66
2017;11;28;01;00;48.88;0.00;24.01;207.76
2017;11;28;02;00;48.13;0.00;23.90;211.61
2017;11;28;03;00;47.39;0.00;23.64;214.59
2017;11;28;04;00;46.78;0.00;23.46;214.90
2017;11;28;05;00;46.09;0.00;23.22;215.99
2017;11;28;06;00;44.82;0.00;22.98;211.06
2017;11;28;07;00;44.11;0.00;22.41;211.94
2017;11;28;08;00;44.92;0.00;21.72;212.38
2017;11;28;09;00;47.10;0.00;20.91;212.33
2017;11;28;10;00;48.94;0.00;20.31;216.49
2017;11;28;11;00;51.37;0.00;18.37;222.04
2017;11;28;12;00;52.86;0.00;16.79;228.24
2017;11;28;13;00;53.42;0.00;15.89;237.65
2017;11;28;14;00;53.44;0.00;14.46;248.20
2017;11;28;15;00;52.66;0.00;13.10;262.15
2017;11;28;16;00;51.55;0.00;11.87;273.24
2017;11;28;17;00;50.65;0.00;10.53;282.26
2017;11;28;18;00;50.23;0.00;9.56;286.31
2017;11;28;19;00;49.30;0.00;9.34;286.70
2017;11;28;20;00;47.64;0.00;10.05;290.85
2017;11;28;21;00;46.20;0.00;11.21;298.61
2017;11;28;22;00;44.78;0.00;12.75;307.87
2017;11;28;23;00;42.91;0.00;13.45;314.33
2017;11;29;00;00;41.34;0.00;13.62;317.66
2017;11;29;01;00;39.72;0.00;14.46;320.65
2017;11;29;02;00;38.26;0.00;15.08;327.72
2017;11;29;03;00;37.06;0.00;15.54;337.13
2017;11;29;04;00;36.23;0.00;15.84;346.94
2017;11;29;05;00;35.58;0.00;15.72;355.10
2017;11;29;06;00;35.83;0.00;16.51;8.57
2017;11;29;07;00;35.40;0.00;14.66;21.48
2017;11;29;08;00;36.72;0.00;13.11;36.67
2017;11;29;09;00;39.13;0.00;12.35;54.58
2017;11;29;10;00;40.55;0.00;11.74;72.26
2017;11;29;11;00;41.77;0.00;10.51;90.00
2017;11;29;12;00;42.69;0.00;9.50;105.02
2017;11;29;13;00;43.57;0.00;8.80;117.22
2017;11;29;14;00;44.10;0.00;8.82;125.71
2017;11;29;15;00;44.13;0.00;9.18;133.03
2017;11;29;16;00;43.48;0.00;10.29;137.64
2017;11;29;17;00;42.24;0.00;11.63;142.03
2017;11;29;18;00;41.45;0.00;12.78;147.14
2017;11;29;19;00;40.78;0.00;13.61;152.59
2017;11;29;20;00;40.30;0.00;14.04;157.52
2017;11;29;21;00;40.42;0.00;15.00;162.65
2017;11;29;22;00;41.45;0.00;15.67;170.13
2017;11;29;23;00;40.75;0.50;16.11;180.80
2017;11;30;00;00;40.66;0.50;14.44;192.53
2017;11;30;01;00;40.82;0.20;12.62;209.74
2017;11;30;02;00;41.05;0.10;12.54;219.94
2017;11;30;03;00;41.59;0.00;13.47;228.37
2017;11;30;04;00;41.72;0.00;14.32;241.03
2017;11;30;05;00;40.57;0.00;14.87;254.29
2017;11;30;06;00;42.58;0.00;16.01;257.91
2017;11;30;07;00;40.62;0.00;17.04;266.24
2017;11;30;08;00;40.12;0.00;17.54;275.86
2017;11;30;09;00;41.31;0.00;18.11;287.99
2017;11;30;10;00;43.90;0.00;17.71;296.24
2017;11;30;11;00;46.18;0.00;17.46;300.84
2017;11;30;12;00;48.13;0.00;16.62;298.98
2017;11;30;13;00;49.87;0.00;15.71;296.20
2017;11;30;14;00;50.72;0.00;15.13;293.53
2017;11;30;15;00;50.65;0.00;13.96;291.63
2017;11;30;16;00;49.24;0.00;13.09;289.98
2017;11;30;17;00;47.01;0.00;12.67;290.67
2017;11;30;18;00;45.28;0.00;12.92;293.46
2017;11;30;19;00;43.70;0.00;13.21;298.30
2017;11;30;20;00;42.24;0.00;12.59;303.41
2017;11;30;21;00;40.87;0.00;11.63;307.97
2017;11;30;22;00;39.56;0.00;10.92;312.51
2017;11;30;23;00;38.46;0.00;9.66;317.82
2017;12;01;00;00;37.76;0.00;8.28;321.58
2017;12;01;01;00;37.13;0.00;6.67;320.44
2017;12;01;02;00;36.77;0.00;4.91;316.85
2017;12;01;03;00;36.25;0.00;3.23;303.69
2017;12;01;04;00;35.91;0.00;2.69;274.76
2017;12;01;05;00;35.35;0.00;2.91;247.38
2017;12;01;06;00;33.87;0.00;3.80;225.00
2017;12;01;07;00;33.15;0.00;4.79;217.41
2017;12;01;08;00;34.02;0.00;5.15;214.38
2017;12;01;09;00;38.41;0.00;5.91;209.48
2017;12;01;10;00;42.76;0.00;7.50;206.57
2017;12;01;11;00;46.33;0.00;8.80;207.22
2017;12;01;12;00;48.61;0.00;9.56;212.57
2017;12;01;13;00;49.95;0.00;9.44;216.33
2017;12;01;14;00;50.52;0.00;8.56;213.27
2017;12;01;15;00;50.40;0.00;7.80;207.30
2017;12;01;16;00;48.99;0.00;7.22;196.19
2017;12;01;17;00;47.28;0.00;6.97;185.53
2017;12;01;18;00;46.13;0.00;7.61;180.00
2017;12;01;19;00;45.36;0.00;7.69;171.63
2017;12;01;20;00;44.31;0.00;8.55;173.99
2017;12;01;21;00;42.89;0.00;8.75;175.60
2017;12;01;22;00;41.77;0.00;8.72;180.00
2017;12;01;23;00;40.73;0.00;8.77;185.86
2017;12;02;00;00;39.69;0.00;9.34;191.04
2017;12;02;01;00;38.73;0.00;9.83;197.20
2017;12;02;02;00;38.50;0.00;10.43;202.71
2017;12;02;03;00;38.73;0.00;10.61;204.94
2017;12;02;04;00;38.84;0.00;10.93;202.89
2017;12;02;05;00;38.64;0.00;11.26;200.96
2017;12;02;06;00;37.47;0.00;11.18;199.89
2017;12;02;07;00;36.50;0.00;11.39;199.50
2017;12;02;08;00;37.87;0.00;11.76;201.19
2017;12;02;09;00;40.91;0.00;12.31;204.70
2017;12;02;10;00;44.20;0.00;11.41;208.07
2017;12;02;11;00;48.25;0.00;10.74;211.37
2017;12;02;12;00;50.83;0.00;9.87;212.97
2017;12;02;13;00;52.81;0.00;8.69;214.51
2017;12;02;14;00;53.91;0.00;8.11;219.40
2017;12;02;15;00;54.23;0.00;7.44;223.78
2017;12;02;16;00;53.24;0.00;6.33;225.00
2017;12;02;17;00;52.14;0.00;5.85;226.55
2017;12;02;18;00;51.40;0.00;5.87;229.64
2017;12;02;19;00;50.36;0.00;6.27;235.18
2017;12;02;20;00;49.33;0.00;6.50;243.43
2017;12;02;21;00;48.29;0.00;6.37;251.57
2017;12;02;22;00;47.16;0.00;6.11;261.57
2017;12;02;23;00;45.75;0.00;5.82;270.00
